sentence;consultant_id;gender;reca;raha
РуслАн хвсантиметрк1ла ЗарИна лАцк1ыс рЫц1а дх1аг1ап1;1;f;1;0
РуслАн хвсантиметрк1ла рЫц1а ЗарИна лАцк1ыс дх1аг1ап1;1;f;1;0
РуслАн рЫц1а хвсантиметрк1ла ЗарИна лАцк1ыс дх1аг1ап1;1;f;1;0
ЗарИна г1ванла рЫц1а  ФатИма лацк1Ыс дх1аг1ап1;1;f;1;0
ЗарИна г1ванла ФатИма лацк1Ыс рЫц1а дх1аг1ап1;1;f;1;0
ЗарИна хынла рЫц1а ФатИма лацк1Ыс дх1аг1ап1;1;f;1;0
ахыг1в х1Ацк1ыс ауИ рЫц1а дх1аг1ап1;1;f;1;0
ДиАна рЫц1а РуслАн йацк1Ыс ддуп1;1;f;1;0
РуслАн хвсантиметрк1ла рах1А ЗарИна лАцк1ыс дх1аг1ап1;1;f;0;1
РуслАн рах1А хвсантиметрк1ла ЗарИна лАцк1ыс дх1аг1ап1;1;f;0;1
ЗарИна г1ванла ФатИма лацк1Ыс рах1А дх1аг1ап1;1;f;0;1
ДАна рах1А йбыхъвх1аг1Аз дхъАлт1;1;f;0;1
ахыг1в х1Ацк1ыс ауИ рах1А дх1аг1ап1;1;f;0;1
ахыг1в х1пнЫ ауИ рах1А дх1аг1ап1;1;f;0;1
РуслАн хвсантиметрк1ла ЗарИна лАцк1ыс рах1А дх1аг1ап1;1;f;0;1
сарА рЫц1а спшдздзап1;1;f;1;0
йацы акнИга хвыцын  уахьч1вА йацЫ Ацк1ыс рЫц1а йдУп1;1;f;1;0
сарА счх1Ара рЫц1а ймач1п1 йарА йАцк1ыс;1;f;1;0
сарА рЫц1а чх1Ара сЫмап1 йарА йАцк1ыс;1;f;1;0
сарА рЫц1а чх1Ара сЫмап1 йарА йАцк1ыс;1;f;1;0
йарА йАцк1ыс сарА рЫц1а сыгьхъыччахъвам;1;f;1;0
йарА йАцк1ыс сарА рЫц1а мач1та сыгьхъыччахъвам;1;f;1;0
ауИ рЫц1а ласЫ дЫг1вит1 сарА сАцк1ыс;1;f;1;0
ауИ рЫц1а ласЫ дЫг1вит1 са сАцк1ыс;1;f;1;0
ауИ рЫц1а ласЫ дЫг1вит1 сацк1Ыс;1;f;1;0
ауИ сацк1ыс рЫц1а ласЫ дЫг1вит1;1;f;1;0
ауИ рЫц1а ласЫта дЫг1вит1 са сацк1ыс;1;f;1;0
ауИ рЫц1а ласЫта дЫг1вит1 сацк1ыс;1;f;1;0
ЗарИна ФатИма лацк1Ыс рЫц1а хынла дх1аг1ап1;1;f;1;0
СултАн йацк1Ыс РуслАн рЫц1а ддуп1;1;f;1;0
СултАн РуслАн йацк1Ыс рЫц1а ддуп1;1;f;1;0
Фатима лацк1Ыс СултАн рЫц1а ддуп1;1;f;1;0
СултАн ФатИма лацк1Ыс рЫц1а ддуп1;1;f;1;0
ДиАна РуслАн йацк1Ыс рЫц1а ддуп1;1;f;1;0
Руслан йацк1Ыс ДиАна рЫц1а ддуп1;1;f;1;0
ауИ рЫц1а ласЫта дЫг1вит1 сарА сацк1ыс;1;f;1;0
сарА швАбыжта хъарАта съабзАзауа  рЫц1а ласЫта сджвЫлц1ра Атахъып1;1;f;1;0
сарА швАбыжта хъарАта съабзАзауа  рЫц1а ласЫта сджвЫлц1ит1;1;f;1;0
ауИ рах1А ласЫ дЫг1вит1 сара сАцк1ыс;1;f;0;1
ауИ рах1А ласЫ дЫг1вит1 са сАцк1ыс;1;f;0;1
ауИ рах1А ласЫ дЫг1вит1 сацк1Ыс;1;f;0;1
ауИ рах1А ласЫта дЫг1вит1 сара сацк1ыс;1;f;0;1
ауИ рах1А ласЫта дЫг1вит1 са сацк1ыс;1;f;0;1
ауИ рах1А ласЫта дЫг1вит1 сацк1ыс;1;f;0;1
жваг1вкъабардИйак1 рАцк1ыс  абАзаг1взАк1 рах1А дагъьп1;1;f;0;1
хвгъЫччва рацк1Ыс мцх1вак1 рах1А дайчвАп1;1;f;0;1
сарА сквт1Уква рах1А ймач1п1 йарА йч1вква рАцк1ыс;1;f;0;1
сарА скастрЮльква рЫц1а йгь(с)щардАм  ларА лч1вква рАцк1ыс;1;f;1;0
сарА скастрЮльква рЫц1а йгьщардАм мама лч1вквА рАцк1ыс;1;f;1;0
РуслАн хвсантиметрк1ла ЗарИна лацк1Ыс рЫц1а дх1аг1ап1;10;f;1;0
ЗарИна г1ванла ФатИма лацк1Ыс рЫц1а дх1аг1ап1;10;f;1;0
Апхьаг1в рЫц1а йх1аг1у йг1атгАраква тшрЫлайырхъададит1;10;f;1;0
са сацк1Ыс рЫц1а йх1аг1у апх1выспа апЕщ дг1ашЫлт1;10;f;1;0
ла лацк1Ыс рЫц1а йх1аг1у апх1выспа апЕщ дг1ашЫлт1 ауАса ауАт гьх1аг1Ам;10;f;1;0
рЫц1а йдуу ач1вА г1асЫт (дай).;10;f;1;0
рЫц1а йдуу ач1вА г1аситИт1;10;f;1;0
зымг1вА рАцк1Ыс рЫц1а йдуу ач1вА г1асЫт;10;f;1;0
зымг1вА рАцк1Ыс рЫц1а йдуу ач1вА г1аситИт1;10;f;1;0
МурАт алА рЫц1а ддуп1;10;f;1;0
РуслАн хвсантиметрк1ла ЗарИна лацк1Ыс рах1А дх1аг1ап1;10;f;0;1
ЗарИна г1ванла ФатИма лацк1Ыс рах1А дх1аг1ап1;10;f;0;1
са сацк1Ыс рах1А йх1аг1у апх1выспа апЕщ дг1ашЫлт1;10;f;0;1
Мух1амАд рЫц1а йпшдзАз пх1вЫспа дг1айш1ашвАт1;10;f;1;0
МурАт сарА сышдзцауА Ацк1ыс рЫц1а ласЫ дЫг1вит1;10;f;1;0
Фатима тшы анылг1вуа Ацк1ыс Руслан рЫц1а ласЫта дАпхьит1;10;f;1;0
сарА сышдзцауА Ацк1ыс МурАт рЫц1а ласЫ дЫг1вит1;10;f;1;0
ауИ сарА сАцк1ыс рЫц1а ласЫ дЫг1вит1;10;f;1;0
ауИ рЫц1а ласЫ дЫг1вит1 сарА сАцк1ыс;10;f;1;0
ауИ рЫц1а ласЫ дЫг1вит1 са сацк1Ыс;10;f;1;0
ауИ рЫц1а ласЫ дЫг1вит1 сАцк1ыс;10;f;1;0
ауИ сацк1ыс рЫц1а ласЫ дЫг1вит1;10;f;1;0
ауИ рЫц1а ласЫта дЫг1вит1 сарА сацк1ыс;10;f;1;0
ауИ рЫц1а ласЫта дЫг1вит1 са сацк1ыс;10;f;1;0
ауИ рЫц1а ласЫта дЫг1вит1 сацк1ыс;10;f;1;0
ауИ дшыг1вуА Ацк1ыс рЫц1а ласЫ дыпхьадзИт1;10;f;1;0
ауИ сшыг1вуА Ацк1ыс рЫц1а ласЫ дыпхьадзИт1;10;f;1;0
Инджьыгь-Чк1вын адзы рЫц1а ласЫта йЫг1вит1 КъвбИна-дзы Ацк1ыс;10;f;1;0
апыжвбАна рЫц1а ласЫ йнЫкъвит1 адабыжьмАкъ Ацк1ыс;10;f;1;0
РуслАн ФатИма тшы шылг1вуА рЫц1а ласЫта дАпхьит1;10;f;1;0
ауИ рах1А ласЫ дЫг1вит1 сара сАцк1ыс;10;f;0;1
ауИ рах1А ласЫ дЫг1вит1 са сацк1Ыс;10;f;0;1
ауИ рах1А ласЫ дЫг1вит1 сацк1ыс;10;f;0;1
ауИ рах1А ласЫта дЫг1вит1 сара сацк1ыс;10;f;0;1
ауИ рах1А ласЫта дЫг1вит1 са сацк1ыс;10;f;0;1
ауИ рах1А ласЫта дЫг1вит1 сацк1ыс;10;f;0;1
ауИ сшыг1вуА Ацк1ыс рах1А ласЫ дыпхьадзИт1;10;f;0;1
Инджьыгь-Чк1вын адзы рЫц1а йЫг1вит1 КъвбИна-дзы Ацк1ыс;10;f;1;0
апыжвбАна рЫц1а йнЫкъвит1 адабыжьмАкъ Ацк1ыс;10;f;1;0
ауИ азамАн Айх1ара рЫц1а дычвит1  данхауа Ацк1ыс;10;f;1;0
ауИ дныкъвауа Ацк1ыс даныг1вуа рЫц1а йайх1Ап1;10;f;1;0
Инджьыгь-Чк1вын адзы рах1А йЫг1вит1 КъвбИна-дзы Ацк1ыс;10;f;0;1
апыжвбАна рах1А йнЫкъвит1 адабыжьмАкъ Ацк1ыс;10;f;0;1
ауИ азамАн Айх1ара рах1а дычвит1  данхауа Ацк1ыс;10;f;0;1
асУмка рЫц1а йх1Атлап1;11;f;1;0
асУмка рЫц1агьи йх1Атлап1;11;f;1;0
асУмка астОл Ацк1ыс рЫц1агьи йх1Атлахат1;11;f;1;0
асУмка шх1Атлаз Ацк1ыс рЫц1агьи йх1Атлахат1;11;f;1;0
ШамИль ДАна дшЫдздзцауа Ацк1ыс рЫц1а ласЫта дЫг1вит1;11;f;1;0
ШамИль Апслачва шЫдздзцауа Ацк1ыс рЫц1а ласЫта дЫг1вит1;11;f;1;0
ШамИль рЫц1а ласЫта Апслачва шЫдздзцауа Ацк1ыс дЫг1вит1;11;f;1;0
ШамИль рЫц1а ласЫта дЫг1вит1 Апслачва шЫдздзцауа Ацк1ыс;11;f;1;0
РуслАн ФатИма дышг1вА Ацк1ыс рЫц1а ласЫта дАпхьит1;11;f;1;0
РуслАн ацгвЫ шчауА Ацк1ыс рЫц1а ласЫта дАпхьит1;11;f;1;0
РуслАн ацгвЫ шчауА Ацк1ыс рЫц1а псАйспата дАпхьит1;11;f;1;0
РуслАн ФатИма тшы шылг1вА Ацк1ыс рЫц1а ласЫта дАпхьит1;11;f;1;0
РуслАн ацгвЫ пслачвА шАфуа Ацк1ыс рЫц1а ласЫта дАпхьит1;11;f;1;0
ЗарИна г1ванла рЫц1а ФатИма лацк1Ыс дх1аг1ап1;12;f;1;0
Нина рЫц1а дгвыбзыгъап1;12;f;1;0
ЗарИна г1ванла рах1А ФатИма лацк1Ыс дх1аг1ап1;12;f;0;1
ЗарИна ФатИма лацк1Ыс г1ванла рах1А дх1аг1ап1;12;f;0;1
Нина рЫц1а дпшдзап1;12;f;1;0
Нина рЫц1а дпшдздзап1;12;f;1;0
Нина рЫц1а дгвышхваг1выч1вг1высп1;12;f;1;0
ауИ рЫц1а ласЫ дпхьадзИт1 са сшг1ва Ацк1ыс;12;f;1;0
