sentence;consultant_id;gender;parameter_type
РуслАн хвсантиметрк1ла ЗарИна лАцк1ыс рЫц1а дх1аг1ап1;1;f;adj
РуслАн хвсантиметрк1ла рЫц1а ЗарИна лАцк1ыс дх1аг1ап1;1;f;adj
РуслАн рЫц1а хвсантиметрк1ла ЗарИна лАцк1ыс дх1аг1ап1;1;f;adj
ЗарИна г1ванла рЫц1а  ФатИма лацк1Ыс дх1аг1ап1;1;f;adj
ЗарИна г1ванла ФатИма лацк1Ыс рЫц1а дх1аг1ап1;1;f;adj
ЗарИна хынла рЫц1а ФатИма лацк1Ыс дх1аг1ап1;1;f;adj
ахыг1в х1Ацк1ыс ауИ рЫц1а дх1аг1ап1;1;f;adj
ДиАна рЫц1а РуслАн йацк1Ыс ддуп1;1;f;adj
РуслАн хвсантиметрк1ла рах1А ЗарИна лАцк1ыс дх1аг1ап1;1;f;adj
РуслАн рах1А хвсантиметрк1ла ЗарИна лАцк1ыс дх1аг1ап1;1;f;adj
ЗарИна г1ванла ФатИма лацк1Ыс рах1А дх1аг1ап1;1;f;adj
ДАна рах1А йбыхъвх1аг1Аз дхъАлт1;1;f;adj
ахыг1в х1Ацк1ыс ауИ рах1А дх1аг1ап1;1;f;adj
ахыг1в х1пнЫ ауИ рах1А дх1аг1ап1;1;f;adj
РуслАн хвсантиметрк1ла ЗарИна лАцк1ыс рах1А дх1аг1ап1;1;f;adj
сарА рЫц1а спшдздзап1;1;f;adj
йацы акнИга хвыцын  уахьч1вА йацЫ Ацк1ыс рЫц1а йдУп1;1;f;adj
сарА счх1Ара рЫц1а ймач1п1 йарА йАцк1ыс;1;f;adj
сарА рЫц1а чх1Ара сЫмап1 йарА йАцк1ыс;1;f;adj
сарА рЫц1а чх1Ара сЫмап1 йарА йАцк1ыс;1;f;adj
йарА йАцк1ыс сарА рЫц1а сыгьхъыччахъвам;1;f;adj
йарА йАцк1ыс сарА рЫц1а мач1та сыгьхъыччахъвам;1;f;adj
ауИ рЫц1а ласЫ дЫг1вит1 сарА сАцк1ыс;1;f;adv
ауИ рЫц1а ласЫ дЫг1вит1 са сАцк1ыс;1;f;adv
ауИ рЫц1а ласЫ дЫг1вит1 сацк1Ыс;1;f;adv
ауИ сацк1ыс рЫц1а ласЫ дЫг1вит1;1;f;adv
ауИ рЫц1а ласЫта дЫг1вит1 са сацк1ыс;1;f;adv
ауИ рЫц1а ласЫта дЫг1вит1 сацк1ыс;1;f;adv
ЗарИна ФатИма лацк1Ыс рЫц1а хынла дх1аг1ап1;1;f;adv
СултАн йацк1Ыс РуслАн рЫц1а ддуп1;1;f;adv
СултАн РуслАн йацк1Ыс рЫц1а ддуп1;1;f;adv
Фатима лацк1Ыс СултАн рЫц1а ддуп1;1;f;adv
СултАн ФатИма лацк1Ыс рЫц1а ддуп1;1;f;adv
